"","Sexo","Escolaridad","Num_Pers_Hogar","Sala_Mens_Antes","Sala_Mens_Desp","Index_Dep5T"
"516",1,4,5,7,7,15
"517",1,4,4,NA,4,16
"518",1,4,2,1,1,21
"519",2,3,5,7,7,9
"520",1,3,4,7,7,1
"521",2,4,4,7,7,8
"522",1,2,3,5,5,1
"523",2,3,6,3,3,15
"524",1,3,3,7,5,29
"525",2,3,4,3,3,2
"526",1,3,3,1,1,29
"527",2,4,1,3,3,22
"528",1,2,1,3,4,4
"529",1,3,4,3,3,2
"530",1,2,2,1,1,29
"531",1,4,4,7,7,18
"532",1,4,3,2,1,5
"533",1,4,5,3,2,11
"534",2,3,1,4,4,17
"535",2,2,4,3,3,21
"536",1,3,4,3,3,14
"537",1,3,2,3,NA,5
"538",2,2,4,2,2,9
"539",2,4,4,5,4,16
"540",1,4,4,4,4,17
"541",2,2,NA,NA,5,11
"542",1,6,2,7,7,11
"543",2,5,5,7,7,7
"544",2,2,1,1,7,7
"545",1,2,2,2,2,3
"546",1,2,1,2,2,12
"547",2,5,2,NA,7,2
"548",1,4,1,3,3,16
"549",2,2,2,2,2,5
"550",2,4,3,7,7,14
"551",1,4,3,5,5,27
"552",1,1,4,1,1,0
"553",2,4,3,7,7,13
"554",1,3,2,4,NA,13
"555",2,4,2,6,6,15
"556",1,4,2,6,NA,20
"557",2,3,2,5,NA,18
"558",1,4,6,7,7,8
"559",2,3,4,4,4,15
"560",2,5,3,7,7,25
"561",1,2,1,2,2,9
"562",1,5,5,3,3,5
"563",1,3,4,2,2,26
"564",2,4,4,7,5,4
"565",1,5,4,6,6,10
"566",1,5,2,7,7,28
"567",1,2,4,4,NA,18
"568",1,4,2,7,3,24
"569",2,3,4,7,7,1
"570",1,5,2,7,7,5
"571",1,2,2,3,NA,11
"572",1,4,1,6,6,9
"573",1,2,2,3,NA,3
"574",1,2,3,1,1,28
"575",1,5,5,7,7,6
"576",1,4,4,7,7,16
"577",1,4,2,4,4,8
"578",1,4,4,6,6,12
"579",2,2,1,2,7,16
"580",2,4,3,7,7,9
"581",1,4,3,3,1,15
"582",1,5,3,4,3,11
"583",1,4,2,3,3,10
"584",1,4,1,7,7,15
"585",1,4,2,3,NA,5
"586",1,5,4,6,6,11
"587",2,4,1,5,5,12
"588",1,6,2,7,NA,7
"589",1,1,3,1,NA,15
"590",1,4,5,1,1,11
"591",2,1,2,1,2,0
"592",2,2,2,7,7,15
"593",1,3,2,2,2,8
"594",1,NA,2,NA,NA,20
"595",1,4,4,7,7,4
"596",1,NA,2,7,7,1
"597",1,2,3,7,7,2
"598",1,5,3,7,7,14
"599",2,3,4,7,7,26
"600",2,2,4,6,6,26
"601",1,4,5,7,7,11
"602",2,1,4,1,NA,0
"603",2,4,2,7,7,12
"604",1,5,2,4,3,20
"605",1,3,3,NA,NA,2
"606",1,4,3,4,4,1
"607",2,5,3,7,5,15
"608",1,4,2,4,4,19
"609",1,2,2,7,7,7
"610",2,3,2,5,5,1
"611",2,3,1,5,4,12
"612",2,2,4,5,5,12
"613",1,4,4,1,1,1
"614",1,3,4,2,2,12
"615",1,2,3,NA,7,1
"616",2,2,NA,4,NA,14
"617",2,3,5,7,7,1
"618",NA,4,2,4,4,16
"619",2,6,1,6,2,22
"620",NA,4,3,NA,3,17
"621",2,3,2,7,7,23
"622",1,2,3,NA,NA,16
"623",1,4,4,5,5,15
